X,Y,Z
320977.372,4168146.75,2945.536
320977.416,4168146.835,2945.527
320977.458,4168146.906,2945.537
320977.468,4168146.929,2945.53
320977.49,4168146.991,2945.5
320977.483,4168146.99,2945.482
320977.013,4168146.071,2945.539
320977.046,4168146.122,2945.552
320977.071,4168146.157,2945.567
320977.131,4168146.239,2945.607
320977.135,4168146.257,2945.591
320977.154,4168146.292,2945.591
320977.181,4168146.335,2945.599
320977.182,4168146.344,2945.59
320977.196,4168146.365,2945.594
320977.232,4168146.419,2945.612
320977.228,4168146.421,2945.598
320977.264,4168146.474,2945.616
320977.293,4168146.526,2945.617
320977.304,4168146.546,2945.62
320977.306,4168146.574,2945.584
320977.324,4168146.613,2945.574
320977.361,4168146.706,2945.54
320977.371,4168146.723,2945.541
320977.404,4168146.785,2945.539
320977.415,4168146.809,2945.533
320977.449,4168146.865,2945.542
320977.447,4168146.869,2945.531
320977.465,4168146.901,2945.533
320977.48,4168146.936,2945.522
320977.488,4168146.957,2945.512
320977.492,4168146.967,2945.507
320977.009,4168146.034,2945.54
320977.014,4168146.047,2945.535
320977.023,4168146.065,2945.534
320977.035,4168146.085,2945.536
320977.063,4168146.124,2945.554
320977.127,4168146.21,2945.597
320977.15,4168146.25,2945.601
320977.15,4168146.264,2945.582
320977.175,4168146.312,2945.578
320977.27,4168146.465,2945.608
320977.306,4168146.525,2945.616
320977.296,4168146.521,2945.597
320977.323,4168146.577,2945.588
320977.326,4168146.593,2945.572
320977.336,4168146.617,2945.563
320977.324,4168146.611,2945.541
320977.328,4168146.622,2945.536
320977.349,4168146.657,2945.539
320977.411,4168146.783,2945.522
320977.426,4168146.806,2945.53
320977.442,4168146.829,2945.538
320977.437,4168146.831,2945.524
320977.451,4168146.858,2945.521
320977.463,4168146.877,2945.524
320977.484,4168146.919,2945.521
320977.496,4168146.945,2945.516
320977.491,4168146.958,2945.482
320977.008,4168146.001,2945.546
320977.029,4168146.045,2945.536
320977.031,4168146.062,2945.518
320977.107,4168146.163,2945.574
320977.161,4168146.232,2945.619
320977.141,4168146.215,2945.589
320977.167,4168146.251,2945.605
320977.161,4168146.251,2945.589
320977.182,4168146.295,2945.581
320977.212,4168146.343,2945.592
320977.223,4168146.369,2945.585
320977.251,4168146.407,2945.603
320977.262,4168146.433,2945.597
320977.302,4168146.504,2945.6
320977.32,4168146.536,2945.599
320977.324,4168146.555,2945.585
320977.337,4168146.589,2945.571
320977.353,4168146.645,2945.531
320977.376,4168146.684,2945.537
320977.401,4168146.731,2945.537
320977.418,4168146.763,2945.537
320977.443,4168146.815,2945.527
320977.472,4168146.858,2945.54
320977.468,4168146.861,2945.527
320977.496,4168146.91,2945.531
320977.505,4168146.939,2945.513
320977.506,4168146.953,2945.496
320977.508,4168146.968,2945.48
320977.016,4168145.975,2945.572
320977.021,4168145.987,2945.567
320977.018,4168145.991,2945.554
320977.019,4168146.006,2945.535
320977.031,4168146.027,2945.537
320977.04,4168146.051,2945.525
320977.154,4168146.21,2945.6
320977.148,4168146.209,2945.584
320977.208,4168146.326,2945.577
320977.233,4168146.361,2945.594
320977.247,4168146.383,2945.598
320977.26,4168146.405,2945.602
320977.275,4168146.434,2945.598
